playlist,name,name_url,artist,album,year,album_art,genres,playcount
liked songs,Hymn for the Weekend,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,Coldplay,A Head Full of Dreams,2015,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,"['rock', 'alternative', 'britpop']",8738114
liked songs,Bad Girls,https://open.spotify.com/track/6nzXkCBOhb2mxctNihOqbb,M.I.A.,Matangi,2013,https://i.scdn.co/image/ab67616d0000b2733d6fa293f49903ed38fbe0de,"['Hip-Hop', 'electronic', 'female vocalists']",3216532
liked songs,Rill Rill,https://open.spotify.com/track/0Z7b5GlC70FAES1YduhhqQ,Sleigh Bells,Treats,2010,https://i.scdn.co/image/ab67616d0000b273e1d8ed663a5575b0d1f35b62,"['electronic', 'noise pop', 'Lo-Fi']",918739
liked songs,Nothing's New,https://open.spotify.com/track/0EF1EE8zusg3Y869e56JFd,Rio Romeo,Good God!,2022,https://i.scdn.co/image/ab67616d0000b273502345ddf02b0fe85ad15830,"['indie', 'cabaret', 'queer']",683166
liked songs,The Rebel Path,https://open.spotify.com/track/52hEgQZ12te4rRZn6lI06H,Fir3Music,The Rebel Path,2024,https://i.scdn.co/image/ab67616d0000b273d38f5c9ac4e005eaadf73786,[],7653
liked songs,I Put A Spell On You,https://open.spotify.com/track/0sjxRg1VlYfx4YG7uxurrq,Nina Simone,I Put A Spell On You,1965,https://i.scdn.co/image/ab67616d0000b273892abb1ade35b4863b29e051,"['jazz', 'soul', 'blues']",2849722
liked songs,Feeling Good,https://open.spotify.com/track/6Rqn2GFlmvmV4w9Ala0I1e,Nina Simone,I Put A Spell On You,1965,https://i.scdn.co/image/ab67616d0000b273892abb1ade35b4863b29e051,"['jazz', 'soul', 'blues']",2849722
liked songs,Fireflies,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ,Owl City,Ocean Eyes,2009,https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32,"['electronic', 'indie', 'powerpop']",2648062
liked songs,Friday I'm in Love,https://open.spotify.com/track/263aNAQCeFSWipk896byo6,The Cure,Wish,1992,https://i.scdn.co/image/ab67616d0000b273e410fa31e3dfcc7521cde86d,"['post-punk', 'new wave', 'alternative']",5154897
liked songs,Dark Souls 3,https://open.spotify.com/track/2xIRBmAuVk6s7ZoukykRqS,Yuka Kitamura,Dark Souls 3,2016,https://i.scdn.co/image/ab67616d0000b273a448ea1a88acc7cf5bb26ed1,"['Soundtrack', 'video game music', 'japan']",161020
