playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Recent Tracks,Always Tomorrow,https://open.spotify.com/track/0OblxGfTmtALWjImtm7DFd,Tokyo Tea Room,Dream Room,2019,https://i.scdn.co/image/ab67616d0000b27337fc8bfd25d6a6c76972bf0b,"['dream pop', 'indie pop', 'bedroom pop']",312564,"[{'Designer': 'Tokyo Tea Room'}, {'Eat You Alive': 'Tokyo Tea Room'}, {'Reaper': 'No Vacation'}]"
Recent Tracks,Moment,https://open.spotify.com/track/4CpqVGd8GCTFQqEifhgsTz,Johnny Yukon,MOVIES! WORLDWIDE: PART I,2023,https://i.scdn.co/image/ab67616d0000b2738aeb8f8f966c7c8acd142952,"['rnb', 'pop', 'hip hop']",139893,"[{'stArlight': 'Johnny Yukon'}, {'MADNESS!': 'Johnny Yukon'}, {'Player Two - From ""Don\'t Tell Mom The Babysitter\'s Dead""': 'Jordan Ward'}]"
Recent Tracks,SLOW DANCING IN THE DARK,https://open.spotify.com/track/6rY5FAWxCdAGllYEOZMbjW,Joji,BALLADS 1,2018,https://i.scdn.co/image/ab67616d0000b2734cc52cd7a712842234e4fce2,"['Lo-Fi', 'rnb', 'Hip-Hop']",2668581,"[{'WANTED U': 'Joji'}, {'Sanctuary': 'Joji'}, {'Nights': 'Frank Ocean'}]"
Recent Tracks,out of the way,https://open.spotify.com/track/5suzbdGquIV6XgXetR8OvN,Like Saturn,fairy sonata,2022,https://i.scdn.co/image/ab67616d0000b27367872f0d592ed2db31fb77a9,"['Hip-Hop', 'rap', 'trap']",49644,[]
Recent Tracks,Revenge,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,17,2017,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,"['Hip-Hop', 'rap', 'cloud rap']",2610125,"[{'Everybody Dies in Their Nightmares': 'XXXTENTACION'}, {'Jocelyn Flores': 'XXXTENTACION'}, {'Star Shopping': 'Lil Peep'}]"
Recent Tracks,Feels Like We Only Go Backwards,https://open.spotify.com/track/0LtOwyZoSNZKJWHqjzADpW,Tame Impala,Lonerism,2012,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,"['Psychedelic Rock', 'psychedelic', 'indie rock']",3850006,"[{'Mind Mischief': 'Tame Impala'}, {""Why Won't They Talk to Me?"": 'Tame Impala'}, {'Breathe (In the Air)': 'Pink Floyd'}]"
Recent Tracks,Only Girl (In The World),https://open.spotify.com/track/0AH6WMe3OlAlUb5miXt2FQ,Rihanna,Loud,2010,https://i.scdn.co/image/ab67616d0000b2732ed326786e4c61c6b1dbf222,"['pop', 'rnb', 'female vocalists']",7900617,"[{'S&M': 'Rihanna'}, {""Don't Stop the Music"": 'Rihanna'}, {'Poker Face': 'Lady Gaga'}]"
Recent Tracks,Espresso,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,2024,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,"['pop', 'female vocalists', 'rnb']",2893580,"[{'Please Please Please': 'Sabrina Carpenter'}, {'Good Graces': 'Sabrina Carpenter'}, {'I Can Do It with a Broken Heart': 'Taylor Swift'}]"
Recent Tracks,BAD!,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,XXXTENTACION,SKINS,2018,https://i.scdn.co/image/ab67616d0000b273da9e59639a9759d8952890c6,"['Hip-Hop', 'rap', 'cloud rap']",2610125,"[{'Moonlight': 'XXXTENTACION'}, {'HOPE': 'XXXTENTACION'}, {'Save That Shit': 'Lil Peep'}]"
Recent Tracks,Paradise,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,Coldplay,Mylo Xyloto,2011,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d,"['rock', 'alternative', 'britpop']",8738114,"[{'A Sky Full of Stars': 'Coldplay'}, {'Viva la Vida': 'Coldplay'}, {'Whatever It Takes': 'Imagine Dragons'}]"
Recent Tracks,ocean eyes,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,dont smile at me,2017,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,"['pop', 'indie pop', 'electropop']",3905869,"[{'idontwannabeyouanymore': 'Billie Eilish'}, {'hostage': 'Billie Eilish'}, {'Summertime Sadness': 'Lana Del Rey'}]"
Recent Tracks,Demons,https://open.spotify.com/track/77UXyXy6qie0sOtLdEIH4A,Joji,In Tongues (Deluxe),2018,https://i.scdn.co/image/ab67616d0000b2738e947f66f6d4eeaa56a28767,"['Lo-Fi', 'rnb', 'Hip-Hop']",2668581,"[{'Window': 'Joji'}, {'Pills': 'Joji'}, {'Chanel': 'Frank Ocean'}]"
Recent Tracks,Needed Me,https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3,Rihanna,ANTI (Deluxe),2016,https://i.scdn.co/image/ab67616d0000b2736be9bac15995f089579074de,"['pop', 'rnb', 'female vocalists']",7900617,"[{'Desperado': 'Rihanna'}, {'Kiss It Better': 'Rihanna'}, {'Streets': 'Doja Cat'}]"
