playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Top Tracks,Given Up On Me,https://open.spotify.com/track/3niLgyM9yJTaZMpeXjjSSk,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Opening Night': 'The Weeknd'}, {'Niagara Falls': 'The Weeknd'}, {'Low Life (feat. The Weeknd)': 'Future'}]"
Top Tracks,Somebody That I Used To Know,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7,Gotye,Making Mirrors,2011,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e,"['indie', 'electronic', 'alternative']",2899769,"[{'Pumped Up Kicks': 'Foster the People'}, {'Riptide': 'Vance Joy'}, {'We Are Young (feat. Janelle Monáe)': 'fun.'}]"
Top Tracks,Just A Stranger (feat. Steve Lacy),https://open.spotify.com/track/1HA2V2EfAgJUBVOju4YfiB,Kali Uchis,Isolation,2018,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,"['rnb', 'Neo-Soul', 'alternative rnb']",2805745,"[{'Your Teeth in My Neck': 'Kali Uchis'}, {'Tomorrow': 'Kali Uchis'}, {'Go Gina': 'SZA'}]"
Top Tracks,As the World Caves In,https://open.spotify.com/track/2xXNLutYAOELYVObYb1C1S,Sarah Cothran,As the World Caves In,2021,https://i.scdn.co/image/ab67616d0000b2738b065a7bfff7655a18bc18ed,"['pop', 'USA', 'american']",422905,"[{'Heather': 'Conan Gray'}, {""People I Don't Like"": 'Upsahl'}, {'Love Story': 'Sarah Cothran'}]"
Top Tracks,Cry For Me,https://open.spotify.com/track/3AWDeHLc88XogCaCnZQLVI,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Baptized in Fear': 'The Weeknd'}, {'After Hours': 'The Weeknd'}, {'Wake Me Up': 'The Weeknd & Justice'}]"
Top Tracks,The Abyss (feat. Lana Del Rey),https://open.spotify.com/track/4cYllEeJVH7dWKwQxpbk42,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Wake Me Up (feat. Justice)': 'The Weeknd'}, {'dodger blue (feat. wallie the sensei, siete7x, roddy ricch)': 'Kendrick Lamar'}]"
Top Tracks,BONNIE AND CLYDE,https://open.spotify.com/track/50P3NOtlB7fFimxWH8h5IM,Red Leather,BONNIE AND CLYDE,2025,https://i.scdn.co/image/ab67616d0000b273815ff4b8b2dfbfdd43c13f19,"['rock', 'country', 'Gambling Addiction']",89337,"[{'POISON': 'Red Leather'}, {'SOS': 'Red Leather'}, {'JIM BOB': 'HARDY'}]"
Top Tracks,SKINNY,https://open.spotify.com/track/1CsMKhwEmNnmvHUuO5nryA,Billie Eilish,HIT ME HARD AND SOFT,2024,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,"['pop', 'indie pop', 'electropop']",3905869,"[{'THE GREATEST': 'Billie Eilish'}, {'BITTERSUITE': 'Billie Eilish'}, {'true story': 'Ariana Grande'}]"
Top Tracks,Batuque - Jeremy Sole & Atropolis remix,https://open.spotify.com/track/4Lns34NpYHhYrVbAWPaV6e,Dom La Nena,Ela Por Eles (Remixes),2014,https://i.scdn.co/image/ab67616d0000b2730f5a23a7b4b887e4ae6b1c60,"['singer-songwriter', 'brazilian', 'brasil']",88380,[]
Top Tracks,Lost at Sea - ANNA Remix,https://open.spotify.com/track/3d1sRLMVrXnCBawEZo69bR,Rob Grant,Lost At Sea (ANNA Remix),2024,https://i.scdn.co/image/ab67616d0000b273db1bc560892f655d7ebb831c,"['piano', 'jazz', 'instrumental']",236520,"[{'On The Nature Of Daylight (Entropy)': 'Max Richter'}, {'Me Before You Orchestral': 'Craig Armstrong'}, {""Amelia's Song"": 'Craig Armstrong'}]"
Top Tracks,São Paulo (feat. Anitta),https://open.spotify.com/track/7DY756WOLyOz2Xnhw4EFiC,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,"['rnb', 'electronic', 'dubstep']",4957251,"[{'SPAGHETTII': 'Beyoncé'}, {'A Lonely Night': 'The Weeknd'}, {'IS IT': 'Tyla'}]"
Top Tracks,fragments,https://open.spotify.com/track/1dNC44YUu7hsGFe4g3CZYy,League of Legends,Sessions: Diana,2021,https://i.scdn.co/image/ab67616d0000b273ea6e710908c84591eae14994,"['Soundtrack', 'Game Music', 'video game music']",1135526,"[{'Jump': 'League of Legends'}, {""i'll see you again"": 'League of Legends'}, {'Fallout 4 Main Theme': 'Inon Zur'}]"
Top Tracks,Promentory (Last of the Mohicans Theme),https://open.spotify.com/track/72GB6L1gVIeQHIdahvVRcv,Taylor Davis,Promentory (Last of the Mohicans Theme),2012,https://i.scdn.co/image/ab67616d0000b2734e81dbb297fd7bc52def7984,"['violin', 'instrumental', 'Classical']",146233,"[{'Game of Thrones Theme': 'Taylor Davis'}, {'Fairy Tail Theme': 'Taylor Davis'}, {""He's a pirate"": 'David Garrett'}]"
Top Tracks,Borderline,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr,Tame Impala,The Slow Rush,2020,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,"['Psychedelic Rock', 'psychedelic', 'indie rock']",3850006,[]
