playlist,name,name_url,artist,artist_url,album,album_url,year,album_art,genres,similar_songs
Recent Tracks,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",https://open.spotify.com/track/3Dgmyz32dxvtxvUTPS0CUI,Antonio Vivaldi,https://open.spotify.com/artist/2QOIawHpSlOwXDvSqQ9YJR,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",https://open.spotify.com/album/4oV1x8g9soPYY7dttgsang,2018,https://i.scdn.co/image/ab67616d0000b273286ad27505307c3d93ac6ab1,,"[{'Nisi Dominus, RV 608 - Arr. Cello: 4. Cum dederit dilectis suis (Arr. Cello)': 'Antonio Vivaldi'}, {'The Four Seasons: Concerto No. 4 in F Minor, RV 297 ""L\'inverno"" (winter): I. Allegro non molto': 'Antonio Vivaldi'}, {'Pachelbel: Canon and Gigue in D Major: Canon': 'Johann Pachelbel'}]"
Recent Tracks,"Clair de Lune, L. 32",https://open.spotify.com/track/5u5aVJKjSMJr4zesMPz7bL,Claude Debussy,https://open.spotify.com/artist/1Uff91EOsvd99rtAupatMP,Debussy: Clair De Lune and Other Piano Favourites,https://open.spotify.com/album/4O5tv6jrLH80bmll46xEEe,1994,https://i.scdn.co/image/ab67616d0000b2736e7bb273ff9cb1de1e1d4d0a,,"[{'Carnival of the Animals, R. 125: The Swan': 'Camille Saint-Saëns'}, {'Carnival of the Animals: The Swan - Arranged for Cello and Harp by Miriam Keogh': 'Camille Saint-Saëns'}, {'Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse': 'Pyotr Ilyich Tchaikovsky'}]"
Recent Tracks,"La plus que lente, L.121",https://open.spotify.com/track/6ERVnLLsp2fw9MjnyncyOO,Claude Debussy,https://open.spotify.com/artist/1Uff91EOsvd99rtAupatMP,Debussy: Estampes; Pour le piano; 6 épigraphes antiques,https://open.spotify.com/album/6k80XA8falWG4JO4aOAyld,2007,https://i.scdn.co/image/ab67616d0000b273c920ea9d948db2c0ea0a0017,,[]
Recent Tracks,"Rêverie, L. 68",https://open.spotify.com/track/16dK08KnMolT83HkhFqp1i,Claude Debussy,https://open.spotify.com/artist/1Uff91EOsvd99rtAupatMP,Debussy: Estampes; Pour le piano; 6 épigraphes antiques,https://open.spotify.com/album/6k80XA8falWG4JO4aOAyld,2007,https://i.scdn.co/image/ab67616d0000b273c920ea9d948db2c0ea0a0017,,"[{'2 Arabesques, L. 66: No. 1 in E Major': 'Claude Debussy'}, {'La Fille aux Cheveux de Lin, L. 33': 'Claude Debussy'}, {'Consolations, S. 172: No. 3 in D-Flat Major. Lento, placido': 'Franz Liszt'}]"
Recent Tracks,"Für Elise, WoO 59",https://open.spotify.com/track/6MQAB3vorg90FA3tQpbYXK,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,Beethoven Greatest Hits,https://open.spotify.com/album/1x27TAmWCNzMTJeqlA5bYz,1991,https://i.scdn.co/image/ab67616d0000b273ad55ad6f1e9ddde0711521bd,,"[{'Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio': 'Ludwig van Beethoven'}, {'Bagatelle in A Minor, WoO 59, ""Fur Elise""': 'Ludwig van Beethoven'}, {'Cello Suite No. 1 in G Major, BWV 1007: I. Prélude': 'Johann Sebastian Bach'}]"
Recent Tracks,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",https://open.spotify.com/track/40gRh2ZURv5tYBo8yB9Lu3,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,"Beethoven: Piano Sonatas, Vol. 3",https://open.spotify.com/album/0agchkBY40W1AA7J7ZmDrx,2007,https://i.scdn.co/image/ab67616d0000b273e8580303c8c1e369c643fcb7,,"[{'Piano Sonata No. 8 in C Minor, Op. 13 ""Pathetique"": II. Adagio cantabile': 'Ludwig van Beethoven'}, {'Egmont, Op. 84: Overture': 'Ludwig van Beethoven'}, {'Chopin: Nocturne No. 20 in C-Sharp Minor, Op. posth.': 'Frédéric Chopin'}]"
Recent Tracks,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": II. Adagio cantabile",https://open.spotify.com/track/3jeQSllNtDd0N8Ut3xbDCP,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,Beethoven: The Complete Piano Sonatas,https://open.spotify.com/album/014wV6KWcsn01SiYIYVJeg,2019,https://i.scdn.co/image/ab67616d0000b2733cb98562e1520a745bd35979,,"[{'Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2, ""Moonlight"": III. Presto agitato': 'Ludwig van Beethoven'}, {'Piano Sonata No. 9 in E major, Op. 14, No. 1: I. Allegro': 'Ludwig van Beethoven'}, {'String Quartet No. 18 in A major, KV 464: I. Allegro': 'Wolfgang Amadeus Mozart'}]"
Recent Tracks,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",https://open.spotify.com/track/24t1mpJc8FTPAkYjFdf9NQ,Ludwig van Beethoven,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,Beethoven: The Complete Piano Sonatas,https://open.spotify.com/album/014wV6KWcsn01SiYIYVJeg,2019,https://i.scdn.co/image/ab67616d0000b2733cb98562e1520a745bd35979,,"[{'6 Chorale Preludes, BV B 50: Herzlich tut mich verlangen, Op. 122/10': 'Johannes Brahms'}, {'Minuet in E major, D. 335': 'Franz Schubert'}, {'6 Piano Pieces, Op. 118: No. 2: Intermezzo in A Major': 'Johannes Brahms'}]"
Recent Tracks,Remembrance,https://open.spotify.com/track/7xiw42KTmCcqfZNCZqUcnF,Balmorhea,https://open.spotify.com/artist/1U0FaHAc4fcwQcYEJFgkm9,"All Is Wild, All Is Silent",https://open.spotify.com/album/017xVwah8y6Jc37bsRZ4u4,2009,https://i.scdn.co/image/ab67616d0000b2737d04a43a2bb5e2ed4c47fb45,,"[{'Elegy': 'Balmorhea'}, {'Night In The Draw': 'Balmorhea'}, {'Quiet': 'This Will Destroy You'}]"
Recent Tracks,Nothing Without You,https://open.spotify.com/track/57qiTKh8bVX0VtfUNTQqhw,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Starboy,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe,2016,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,,"[{'Attention': 'The Weeknd'}, {'Love to Lay': 'The Weeknd'}, {'Lady of Namek': 'Tory Lanez'}]"
Recent Tracks,Soul Food,https://open.spotify.com/track/3lWCa9e0KhDghboM5L9C6d,Logic,https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L,Under Pressure (Deluxe),https://open.spotify.com/album/1Mk7Lei0Ra3hawezqmad5V,2014,https://i.scdn.co/image/ab67616d0000b273a4c35326f6fe6676c10e31ac,,"[{'Gang Related': 'Logic'}, {'Metropolis': 'Logic'}, {'Eulogy': 'Joey Bada$$'}]"
Recent Tracks,CHANT (feat. Tones And I),https://open.spotify.com/track/7ICMhHYyv1vM3S1XzcEFIq,Macklemore,https://open.spotify.com/artist/3JhNCzhSMTxs9WLGJJxWOY,BEN,https://open.spotify.com/album/6K5RX7xasf8WdeQjapsThS,2023,https://i.scdn.co/image/ab67616d0000b273033b871ae27b16ddd8139806,,"[{'1984': 'Macklemore'}, {'SORRY (feat. Livingston)': 'Macklemore'}, {'Wing$': 'Macklemore & Ryan Lewis'}]"
Recent Tracks,Without a Warning,https://open.spotify.com/track/6n6GfXu4i22rdsmRKe2eIn,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,"[{'Red Terror': 'The Weeknd'}, {'Hurry Up Tomorrow': 'The Weeknd'}, {'The Color Violet': 'Tory Lanez'}]"
Recent Tracks,Roll in Peace (feat. XXXTENTACION),https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,Project Baby 2: All Grown Up,https://open.spotify.com/album/51wp3EOOp2mBIjhZjR7W0i,2017,https://i.scdn.co/image/ab67616d0000b273583ce93dc89d84218f233ea7,,"[{'No Flockin': 'Kodak Black'}, {'Tunnel Vision': 'Kodak Black'}, {'Bad and Boujee (feat. Lil Uzi Vert)': 'Migos'}]"
Recent Tracks,Fire,https://open.spotify.com/track/7oHkit3F3vimtsBbnZkU0G,KIDS SEE GHOSTS,https://open.spotify.com/artist/2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,https://open.spotify.com/album/6pwuKxMUkNg673KETsXPUV,2018,https://i.scdn.co/image/ab67616d0000b273013c00ee367dd85396f79c82,,"[{'No Mistakes': 'Kanye West'}, {'All Mine': 'Kanye West'}, {'I THINK': 'Tyler, the Creator'}]"
